CustomerID,TotalSpent,AvgOrderValue,OrderValueStd,OrderCount,TotalQuantity,AvgQuantity,QuantityStd,FirstPurchase,LastPurchase,UniqueProducts,CustomerLifetime,AvgDaysBetweenOrders,RevenuePerDay,Is_Anomaly,Anomaly_Score
12371.0,1887.96,29.97,44.28,63,591,9.38,5.97,2011-10-11 10:43:00,2011-10-26 10:16:00,63,14,0.2222222222222222,134.8542857142857,1,0.07342952410964387
12372.0,1298.04,24.96,16.38,52,794,15.27,9.84,2011-02-16 12:46:00,2011-09-29 12:12:00,34,224,4.3076923076923075,5.794821428571429,1,0.1884797614686783
12375.0,457.5,26.91,14.67,17,178,10.47,7.22,2011-09-02 14:23:00,2011-11-29 10:36:00,14,87,5.117647058823529,5.258620689655173,1,0.1732499952765983
12377.0,1628.12,21.14,15.53,77,944,12.26,6.89,2010-12-20 09:37:00,2011-01-28 15:45:00,72,39,0.5064935064935064,41.74666666666666,1,0.13930551920452866
12379.0,852.24,21.31,12.2,40,407,10.18,7.17,2011-06-22 16:32:00,2011-09-19 10:09:00,39,88,2.2,9.684545454545455,1,0.1888591237451822
12380.0,2724.81,26.2,27.09,104,1127,10.84,9.04,2011-06-07 09:49:00,2011-11-18 11:27:00,77,164,1.5769230769230769,16.61469512195122,1,0.17448437149871
12381.0,1845.31,21.21,25.89,87,808,9.29,7.12,2011-08-12 09:57:00,2011-12-05 12:44:00,70,115,1.3218390804597702,16.04617391304348,1,0.17808224358953995
12383.0,1850.56,18.69,12.68,99,1532,15.47,18.71,2010-12-22 14:28:00,2011-06-08 08:02:00,84,167,1.6868686868686869,11.081197604790418,1,0.1801898240546591
12384.0,585.27,21.68,17.3,27,126,4.67,3.35,2011-08-10 11:23:00,2011-11-11 08:39:00,26,92,3.4074074074074074,6.361630434782609,1,0.1811684093418417
12386.0,401.9,40.19,22.82,10,354,35.4,38.74,2010-12-08 09:53:00,2011-01-06 12:37:00,10,29,2.9,13.858620689655172,1,0.12556504392985046
12388.0,2780.66,27.81,16.84,100,1462,14.62,14.77,2011-01-17 11:12:00,2011-11-24 12:30:00,57,311,3.11,8.941028938906753,1,0.17420251047223761
12393.0,1582.6,24.73,18.05,64,816,12.75,8.43,2011-01-11 09:47:00,2011-09-28 15:41:00,47,260,4.0625,6.086923076923076,1,0.1910072023631782
12394.0,1272.48,47.13,64.92,27,819,30.33,65.86,2011-05-06 14:01:00,2011-10-07 08:08:00,26,153,5.666666666666667,8.316862745098039,1,0.13153492389326116
12395.0,3018.63,19.35,12.64,156,2118,13.58,20.55,2010-12-03 16:35:00,2011-11-20 15:21:00,91,351,2.25,8.600085470085471,1,0.16308545591421664
12397.0,2409.9,19.13,15.7,126,1263,10.02,7.13,2011-07-27 14:21:00,2011-11-04 09:52:00,110,99,0.7857142857142857,24.342424242424244,1,0.16608548020319508
12399.0,1108.65,18.79,10.49,59,1178,19.97,17.36,2011-03-23 09:42:00,2011-08-12 13:15:00,47,142,2.406779661016949,7.807394366197184,1,0.1806257998786766
12406.0,3415.3,32.53,23.68,105,1818,17.31,11.57,2011-06-09 10:23:00,2011-11-17 19:22:00,92,161,1.5333333333333334,21.21304347826087,1,0.15194561689037095
12407.0,1708.12,22.18,16.7,77,1416,18.39,32.06,2011-03-20 13:21:00,2011-10-21 10:11:00,57,214,2.779220779220779,7.981869158878504,1,0.18240997493782352
12408.0,2888.55,27.51,24.17,105,1409,13.42,11.48,2011-03-24 14:46:00,2011-11-07 12:27:00,81,227,2.1619047619047618,12.72488986784141,1,0.17640038950437537
12409.0,11072.67,101.58,61.51,109,5551,50.93,35.73,2011-06-10 12:19:00,2011-09-22 10:38:00,91,103,0.944954128440367,107.5016504854369,-1,-0.003828737155698536
12412.0,1226.88,20.11,12.51,61,829,13.59,9.47,2011-06-23 13:51:00,2011-09-26 10:16:00,43,94,1.540983606557377,13.051914893617022,1,0.1871344436974937
12413.0,758.1,19.95,10.27,38,286,7.53,4.55,2011-01-06 16:12:00,2011-10-04 09:00:00,29,270,7.105263157894737,2.807777777777778,1,0.1827029414418771
12414.0,562.41,31.24,18.57,18,300,16.67,14.79,2011-02-02 14:51:00,2011-05-06 14:51:00,16,93,5.166666666666667,6.047419354838709,1,0.16875756793542462
12415.0,124914.53,174.46,181.08,716,77670,108.48,110.41,2011-01-06 11:12:00,2011-11-15 14:22:00,444,313,0.4371508379888268,399.0879552715655,-1,-0.23521102906016256
12417.0,3649.1,19.01,11.08,192,1552,8.08,8.69,2010-12-17 11:51:00,2011-12-06 14:52:00,158,354,1.84375,10.30819209039548,1,0.156802407919041
12421.0,807.04,17.93,11.56,45,484,10.76,8.6,2011-01-24 15:09:00,2011-11-24 09:07:00,32,303,6.733333333333333,2.6634983498349833,1,0.18667795168394524
12422.0,803.56,20.6,17.52,39,370,9.49,4.15,2011-01-19 09:13:00,2011-09-05 09:48:00,39,229,5.871794871794871,3.5089956331877725,1,0.18748973616436898
12423.0,1859.31,14.87,7.84,125,1339,10.71,6.48,2010-12-21 10:54:00,2011-12-09 10:10:00,97,352,2.816,5.282130681818182,1,0.17345742696081518
12427.0,825.8,26.64,17.5,31,533,17.19,50.47,2010-12-03 10:44:00,2011-11-18 08:56:00,26,349,11.258064516129032,2.366189111747851,1,0.142044164627665
12428.0,7956.46,27.06,43.43,294,3536,12.03,8.98,2011-03-01 09:33:00,2011-11-14 08:22:00,258,257,0.8741496598639455,30.95898832684825,1,0.056904883793620076
12429.0,3750.4,38.66,35.85,97,1557,16.05,14.73,2010-12-09 12:05:00,2011-11-30 17:22:00,82,356,3.670103092783505,10.534831460674157,1,0.13375181575305373
12431.0,6487.45,27.49,50.26,236,2918,12.36,30.66,2010-12-01 10:03:00,2011-11-04 11:55:00,163,338,1.4322033898305084,19.193639053254437,1,0.10253454122985411
12432.0,5059.32,46.85,75.68,108,1801,16.68,15.98,2011-06-20 13:27:00,2011-10-28 11:43:00,107,129,1.1944444444444444,39.219534883720925,1,0.08702894719456289
12433.0,13375.87,31.85,27.04,420,11071,26.36,29.71,2010-12-01 13:24:00,2011-12-09 10:02:00,219,372,0.8857142857142857,35.95663978494624,-1,-0.011645851149125974
12434.0,806.14,16.12,8.34,50,394,7.88,5.34,2011-03-24 13:05:00,2011-09-16 12:38:00,46,175,3.5,4.606514285714286,1,0.19781107174085016
12435.0,7829.89,217.5,118.22,36,2055,57.08,44.48,2011-03-17 07:40:00,2011-09-21 09:06:00,31,188,5.222222222222222,41.648351063829786,-1,-0.012907245930670275
12437.0,4951.41,24.76,18.29,200,2923,14.62,14.21,2011-01-12 14:13:00,2011-12-08 11:35:00,119,329,1.645,15.049878419452886,1,0.14636938571865932
12438.0,2906.85,29.66,40.55,98,1180,12.04,8.73,2011-07-22 13:29:00,2011-11-25 13:28:00,84,125,1.2755102040816326,23.2548,1,0.15464735356178794
12444.0,5005.46,28.28,36.34,177,1155,6.53,4.34,2011-06-21 14:00:00,2011-11-18 13:23:00,138,149,0.8418079096045198,33.593691275167785,1,0.11348591882203968
12449.0,4067.29,21.29,17.99,191,1553,8.13,4.52,2011-06-05 15:37:00,2011-11-17 13:46:00,118,164,0.8586387434554974,24.800548780487805,1,0.15827653041484369
12450.0,197.88,24.74,18.19,8,128,16.0,10.95,2011-06-19 14:36:00,2011-07-06 14:41:00,7,17,2.125,11.64,1,0.13544427238300039
12451.0,9035.52,25.52,21.14,354,6575,18.57,15.65,2011-01-19 09:05:00,2011-11-29 08:40:00,265,313,0.884180790960452,28.86747603833866,1,0.04926641596569881
12455.0,2466.86,27.41,23.52,90,2089,23.21,35.5,2011-02-16 09:56:00,2011-09-27 15:31:00,85,223,2.477777777777778,11.062152466367714,1,0.1580911000821208
12456.0,3181.04,25.45,34.24,125,1633,13.06,10.97,2011-03-30 09:12:00,2011-10-26 14:41:00,105,210,1.68,15.147809523809524,1,0.1622082187709456
12457.0,2363.23,37.51,46.17,63,844,13.4,17.57,2011-04-14 18:57:00,2011-10-04 13:13:00,53,172,2.7301587301587302,13.739709302325581,1,0.16300965721670818
12458.0,947.4,24.93,18.03,38,506,13.32,12.7,2011-02-28 10:55:00,2011-09-29 15:25:00,35,213,5.605263157894737,4.447887323943662,1,0.1898500519154765
12461.0,826.88,23.63,32.84,35,287,8.2,4.45,2011-07-08 10:23:00,2011-09-06 16:57:00,35,60,1.7142857142857142,13.781333333333333,1,0.16593005685961348
12462.0,1189.59,19.19,21.33,62,536,8.65,8.67,2011-02-09 14:44:00,2011-11-21 09:11:00,51,284,4.580645161290323,4.188697183098591,1,0.18698605639673926
12463.0,1344.78,16.2,7.33,83,776,9.35,4.51,2011-04-12 12:47:00,2011-10-17 13:44:00,65,188,2.2650602409638556,7.153085106382979,1,0.19318932609363348
12464.0,1212.05,41.79,26.57,29,112,3.86,2.29,2011-02-03 13:30:00,2011-11-29 13:33:00,6,299,10.310344827586206,4.053678929765886,1,0.13635208853802278
12465.0,742.19,15.79,6.35,47,479,10.19,7.78,2011-06-23 13:37:00,2011-11-22 16:34:00,46,152,3.234042553191489,4.882828947368421,1,0.19510672014391206
12468.0,729.54,19.2,11.89,38,366,9.63,7.0,2011-01-27 13:29:00,2011-06-05 11:36:00,36,128,3.3684210526315788,5.69953125,1,0.19463745659478837
12471.0,19824.05,43.1,76.19,460,8212,17.85,16.34,2010-12-10 09:35:00,2011-12-07 15:43:00,150,362,0.7869565217391304,54.76256906077348,-1,-0.018812994219986834
12472.0,6572.11,19.39,15.53,339,4148,12.24,7.47,2010-12-05 14:19:00,2011-11-07 14:01:00,219,336,0.9911504424778761,19.559851190476188,1,0.09190122516946397
12473.0,3938.55,23.44,53.24,168,2439,14.52,12.32,2011-06-01 10:15:00,2011-11-10 13:46:00,140,162,0.9642857142857143,24.312037037037037,1,0.1314372484988407
12474.0,7375.79,17.4,10.21,424,4847,11.43,8.52,2011-01-14 10:06:00,2011-11-22 14:39:00,253,312,0.7358490566037735,23.640352564102564,1,0.07347911204250773
12476.0,6816.42,29.26,26.01,233,2408,10.33,8.88,2010-12-13 14:39:00,2011-11-24 12:40:00,177,345,1.48068669527897,19.757739130434782,1,0.11835743324950809
12477.0,13219.74,44.07,48.76,300,3653,12.18,13.19,2011-02-11 12:45:00,2011-11-17 09:51:00,191,278,0.9266666666666666,47.55302158273381,1,0.03865444661760242
12480.0,3281.63,21.31,28.91,154,1707,11.08,16.62,2011-01-07 15:27:00,2011-11-11 14:52:00,129,307,1.9935064935064934,10.689348534201955,1,0.1643523532038274
12481.0,5596.32,25.79,20.61,217,3304,15.23,12.16,2010-12-09 10:13:00,2011-11-17 08:29:00,150,342,1.576036866359447,16.363508771929823,1,0.13546127721503237
12483.0,2484.98,33.13,31.41,75,1110,14.8,11.05,2011-01-04 14:20:00,2011-11-22 17:02:00,46,322,4.293333333333333,7.717329192546584,1,0.16887657755092578
12484.0,4541.72,13.13,17.15,346,2191,6.33,6.88,2011-01-07 14:04:00,2011-11-07 11:37:00,256,303,0.8757225433526011,14.98917491749175,1,0.11018543284900217
12488.0,1298.66,23.61,16.83,55,529,9.62,7.1,2011-09-25 10:34:00,2011-11-30 08:50:00,46,65,1.1818181818181819,19.979384615384618,1,0.17396654308439785
12490.0,5417.93,22.11,17.13,245,3064,12.51,9.74,2011-01-14 09:13:00,2011-12-04 16:07:00,131,324,1.3224489795918368,16.722006172839507,1,0.13878517383722622
12492.0,263.21,13.16,5.37,20,192,9.6,6.38,2011-08-26 14:51:00,2011-10-07 15:15:00,19,42,2.1,6.266904761904762,1,0.16536681828613675
12493.0,433.74,19.72,5.78,22,207,9.41,6.93,2011-05-26 14:53:00,2011-06-27 10:17:00,20,31,1.4090909090909092,13.991612903225807,1,0.1658835138269768
12494.0,1246.1,16.18,7.52,77,707,9.18,6.61,2010-12-09 11:31:00,2011-11-24 09:34:00,63,349,4.532467532467533,3.570487106017192,1,0.17459001738580826
12498.0,403.7,17.55,6.96,23,159,6.91,4.21,2011-10-13 09:30:00,2011-11-18 12:53:00,21,36,1.565217391304348,11.213888888888889,1,0.16387224313325044
12500.0,4257.82,69.8,96.52,61,2678,43.9,62.01,2011-01-10 09:48:00,2011-11-16 16:20:00,34,310,5.081967213114754,13.73490322580645,1,0.08941574442986949
12502.0,3723.87,25.33,29.73,147,820,5.58,5.32,2011-02-03 10:41:00,2011-09-05 11:52:00,102,214,1.4557823129251701,17.40126168224299,1,0.16120051098347798
12504.0,482.05,53.56,46.54,9,90,10.0,9.33,2011-11-09 14:56:00,2011-11-21 16:02:00,6,12,1.3333333333333333,40.170833333333334,1,0.09148569708529114
12507.0,1304.81,59.31,54.84,22,905,41.14,50.99,2011-02-14 09:24:00,2011-07-28 17:09:00,19,164,7.454545454545454,7.956158536585366,1,0.12357189309010946
12508.0,398.27,5.77,4.45,69,272,3.94,2.41,2011-11-10 16:27:00,2011-11-13 15:37:00,57,2,0.028985507246376812,199.135,1,0.07789163759244544
12510.0,982.57,29.77,32.12,33,353,10.7,8.61,2011-01-18 14:04:00,2011-07-20 10:15:00,29,182,5.515151515151516,5.398736263736264,1,0.18165382963384102
12516.0,1312.06,50.46,32.55,26,875,33.65,27.89,2011-06-12 11:37:00,2011-09-23 09:13:00,20,102,3.923076923076923,12.863333333333333,1,0.15204170863750777
12517.0,2502.84,8.81,8.34,284,1371,4.83,3.53,2011-06-02 15:13:00,2011-11-11 14:04:00,232,161,0.5669014084507042,15.545590062111803,1,0.12243231735918719
12518.0,2056.89,16.59,8.98,124,1318,10.63,7.01,2011-08-21 13:18:00,2011-12-09 10:13:00,84,109,0.8790322580645161,18.870550458715595,1,0.17622169531966425
12520.0,2634.26,17.33,11.73,152,1439,9.47,5.87,2011-03-11 11:35:00,2011-09-21 15:23:00,121,194,1.2763157894736843,13.578659793814435,1,0.17744456239533685
12522.0,192.72,16.06,4.29,12,194,16.17,27.42,2011-10-19 14:41:00,2011-10-31 15:30:00,11,12,1.0,16.06,1,0.13346218046629937
12523.0,1789.77,16.88,5.42,106,865,8.16,8.07,2011-01-12 09:43:00,2011-11-20 12:55:00,84,312,2.943396226415094,5.7364423076923075,1,0.18426341102806376
12524.0,4485.72,31.15,33.08,144,3699,25.69,41.11,2011-01-10 10:35:00,2011-11-30 15:31:00,113,324,2.25,13.844814814814816,1,0.11565414620537129
12526.0,1316.66,18.54,8.52,71,632,8.9,4.8,2011-09-06 14:19:00,2011-12-09 12:09:00,64,93,1.3098591549295775,14.157634408602151,1,0.18571874639904679
12527.0,348.71,19.37,13.67,18,234,13.0,8.53,2011-01-18 12:05:00,2011-09-19 11:55:00,18,243,13.5,1.4350205761316872,1,0.15668729151592736
12528.0,1933.48,21.02,12.02,92,756,8.22,6.91,2011-01-31 09:05:00,2011-11-30 14:40:00,50,303,3.2934782608695654,6.381122112211221,1,0.1860079188615072
12530.0,1662.28,25.19,19.08,66,913,13.83,15.67,2011-01-07 10:04:00,2011-10-11 12:34:00,51,277,4.196969696969697,6.001010830324909,1,0.18682214221645893
12535.0,716.35,21.07,8.92,34,219,6.44,4.57,2011-06-06 12:47:00,2011-09-09 08:48:00,28,94,2.764705882352941,7.620744680851064,1,0.18736617180859266
12536.0,12601.83,48.28,362.18,261,2803,10.74,8.21,2011-10-11 14:52:00,2011-10-27 14:20:00,260,15,0.05747126436781609,840.122,-1,-0.13251170908488352
12539.0,5568.35,20.4,17.99,273,2067,7.57,5.34,2011-01-10 09:11:00,2011-11-17 13:30:00,157,311,1.1391941391941391,17.90466237942122,1,0.13845368254857005
12540.0,13400.24,28.03,29.06,478,6685,13.99,9.74,2010-12-13 09:39:00,2011-11-20 11:31:00,277,342,0.7154811715481172,39.181988304093565,1,0.018773584016508416
12541.0,981.18,18.87,12.46,52,680,13.08,8.38,2011-03-04 09:32:00,2011-11-10 10:40:00,46,251,4.826923076923077,3.9090836653386454,1,0.1928263745143809
12545.0,1000.39,20.01,14.5,50,523,10.46,7.64,2011-03-25 12:04:00,2011-09-25 13:39:00,42,184,3.68,5.436902173913043,1,0.20059277522974006
12546.0,1161.5,16.83,10.42,69,633,9.17,11.22,2011-09-23 09:44:00,2011-10-24 12:09:00,59,31,0.4492753623188406,37.46774193548387,1,0.15612121878560598
12547.0,207.8,25.98,4.71,8,134,16.75,10.57,2011-03-04 12:46:00,2011-05-26 12:38:00,7,82,10.25,2.5341463414634147,1,0.12707233198270068
12553.0,3692.28,19.33,11.88,191,1965,10.29,7.97,2011-01-14 10:42:00,2011-12-01 16:38:00,95,321,1.6806282722513088,11.502429906542057,1,0.16700461002874128
12556.0,603.71,4.99,3.85,121,358,2.96,3.35,2011-07-11 13:35:00,2011-10-20 13:06:00,100,100,0.8264462809917356,6.037100000000001,1,0.15854039317889174
12557.0,11990.96,363.36,446.2,33,4384,132.85,111.82,2010-12-03 12:20:00,2011-11-23 16:59:00,15,355,10.757575757575758,33.777352112676056,-1,-0.1575580226526504
12559.0,561.71,26.75,24.54,21,283,13.48,10.27,2011-01-24 10:12:00,2011-02-02 09:49:00,21,8,0.38095238095238093,70.21375,1,0.12058798447488112
12560.0,2134.01,20.32,17.18,105,1110,10.57,7.0,2011-07-19 15:55:00,2011-12-04 13:54:00,91,137,1.3047619047619048,15.576715328467154,1,0.18075881254343068
12562.0,3781.74,22.51,19.08,168,1779,10.59,9.32,2011-05-25 12:44:00,2011-12-01 17:20:00,99,190,1.130952380952381,19.903894736842105,1,0.16434401924345438
12567.0,9401.28,21.08,17.3,446,4305,9.65,6.71,2010-12-05 11:57:00,2011-11-17 11:02:00,323,346,0.7757847533632287,27.171329479768787,1,0.0505536113528649
12569.0,4124.69,21.94,14.51,188,1801,9.58,8.22,2011-04-01 13:47:00,2011-12-07 16:24:00,92,250,1.3297872340425532,16.498759999999997,1,0.16675998479334375
12571.0,519.61,15.28,6.17,34,523,15.38,8.17,2011-08-10 12:35:00,2011-10-31 10:19:00,31,81,2.3823529411764706,6.414938271604939,1,0.17793739027187183
12572.0,1020.42,17.01,11.71,60,452,7.53,6.36,2011-10-19 08:20:00,2011-12-01 09:20:00,53,43,0.7166666666666667,23.730697674418604,1,0.16802535370696525
12576.0,1315.83,14.95,4.86,88,967,10.99,6.3,2011-02-08 11:31:00,2011-11-04 10:11:00,72,268,3.0454545454545454,4.90981343283582,1,0.1866057665226606
12577.0,657.8,4.47,5.49,147,472,3.21,3.68,2010-12-15 16:21:00,2011-11-04 13:24:00,137,323,2.197278911564626,2.036532507739938,1,0.1593011679218414
12578.0,2794.51,24.51,25.47,114,1196,10.49,5.89,2011-01-13 15:34:00,2011-11-18 13:30:00,111,308,2.7017543859649122,9.073084415584416,1,0.16894197764510865
12582.0,511.36,23.24,22.97,22,300,13.64,12.3,2011-02-24 11:42:00,2011-04-15 08:45:00,21,49,2.227272727272727,10.43591836734694,1,0.16889354685544683
12583.0,7281.38,29.48,22.18,247,5060,20.49,33.11,2010-12-01 08:45:00,2011-12-07 08:07:00,115,370,1.4979757085020242,19.679405405405404,1,0.08473882153501033
12584.0,2338.15,24.36,16.31,96,416,4.33,3.43,2011-03-04 15:15:00,2011-12-06 09:35:00,44,276,2.875,8.471557971014493,1,0.17781907899728766
12585.0,2040.1,23.45,22.17,87,1279,14.7,20.93,2010-12-23 12:58:00,2011-04-19 13:39:00,77,117,1.3448275862068966,17.436752136752137,1,0.1729109205284196
12589.0,646.68,18.48,10.45,35,306,8.74,6.29,2011-07-18 12:05:00,2011-11-11 10:19:00,29,115,3.2857142857142856,5.623304347826086,1,0.19261615919814312
12592.0,437.6,24.31,7.5,18,290,16.11,8.07,2011-05-10 13:44:00,2011-09-08 15:04:00,11,121,6.722222222222222,3.6165289256198347,1,0.1696467766060245
12593.0,418.1,19.91,7.06,21,206,9.81,2.66,2011-05-05 09:29:00,2011-08-23 12:43:00,14,110,5.238095238095238,3.8009090909090912,1,0.18064643938696734
12594.0,3338.22,28.29,15.06,118,1777,15.06,12.76,2011-01-21 09:52:00,2011-11-02 12:20:00,50,285,2.4152542372881354,11.713052631578947,1,0.1655096737133333
12596.0,618.27,22.9,22.14,27,474,17.56,20.65,2011-04-11 13:22:00,2011-10-19 13:02:00,25,190,7.037037037037037,3.254052631578947,1,0.17672712773520494
12597.0,3811.22,18.5,24.55,206,2236,10.85,11.58,2011-03-16 14:00:00,2011-11-20 13:33:00,184,248,1.203883495145631,15.36782258064516,1,0.14617397299593754
12598.0,3023.08,22.9,14.76,132,1964,14.88,11.02,2011-02-28 11:58:00,2011-11-30 12:18:00,84,275,2.0833333333333335,10.993018181818181,1,0.1764729243438063
12599.0,1032.58,16.65,9.57,62,956,15.42,10.03,2011-02-08 13:28:00,2011-11-10 13:34:00,32,275,4.435483870967742,3.7548363636363633,1,0.18872345457615464
12600.0,2599.04,40.61,40.76,64,774,12.09,9.17,2010-12-03 12:57:00,2011-11-11 10:29:00,32,342,5.34375,7.59953216374269,1,0.15523224714538575
12601.0,577.06,20.61,13.24,28,245,8.75,7.66,2011-01-11 10:38:00,2011-06-03 10:17:00,21,142,5.071428571428571,4.063802816901408,1,0.1878706924888378
12604.0,254.18,15.89,6.33,16,201,12.56,8.25,2011-03-23 12:06:00,2011-09-21 14:08:00,15,182,11.375,1.3965934065934067,1,0.1666845876428229
12609.0,1126.85,18.78,11.52,60,648,10.8,9.73,2011-01-25 15:13:00,2011-09-22 16:34:00,57,240,4.0,4.6952083333333325,1,0.19576078563941818
12610.0,2099.54,19.81,18.08,106,1049,9.9,7.52,2011-08-05 13:52:00,2011-11-17 09:34:00,85,103,0.9716981132075472,20.383883495145632,1,0.17348950410500974
12613.0,3344.38,21.86,14.44,153,1644,10.75,6.53,2011-03-22 15:42:00,2011-10-13 14:59:00,124,204,1.3333333333333333,16.394019607843138,1,0.17274185102147338
12615.0,2291.19,21.82,18.75,105,1376,13.1,12.75,2011-06-24 13:35:00,2011-12-07 15:02:00,82,166,1.5809523809523809,13.802349397590362,1,0.185803940884799
12616.0,713.3,22.29,14.66,32,284,8.88,3.37,2011-02-15 14:17:00,2011-09-05 15:17:00,25,202,6.3125,3.531188118811881,1,0.18241140846494824
12619.0,3641.24,40.46,52.29,90,3378,37.53,46.03,2011-03-31 13:10:00,2011-11-23 14:52:00,50,237,2.6333333333333333,15.363881856540084,1,0.11708172376160958
12620.0,1339.41,14.56,7.18,92,1181,12.84,10.8,2011-05-19 12:10:00,2011-11-25 10:20:00,89,189,2.0543478260869565,7.086825396825398,1,0.18825232250953772
12621.0,13689.67,29.31,38.82,467,7440,15.93,21.8,2010-12-09 10:16:00,2011-12-08 11:25:00,261,364,0.7794432548179872,37.60898351648352,1,0.0036742939851839296
12624.0,641.13,16.87,7.71,38,355,9.34,6.67,2011-06-15 12:34:00,2011-08-25 15:04:00,36,71,1.868421052631579,9.03,1,0.18208058095996443
12625.0,2683.82,31.21,33.27,86,1612,18.74,8.68,2011-01-24 13:27:00,2011-05-12 09:54:00,73,107,1.244186046511628,25.082429906542057,1,0.14557801300889078
12626.0,6620.48,22.52,20.06,294,3453,11.74,7.45,2011-01-17 11:01:00,2011-11-16 16:06:00,232,303,1.030612244897959,21.84976897689769,1,0.1004846414108217
12627.0,4478.53,19.47,11.93,230,2752,11.97,15.4,2011-07-22 13:59:00,2011-11-29 12:07:00,162,129,0.5608695652173913,34.71728682170542,1,0.10900846095129535
12628.0,786.46,19.18,7.6,41,448,10.93,8.11,2011-10-06 09:28:00,2011-12-05 13:15:00,34,60,1.4634146341463414,13.107666666666667,1,0.17791580032191023
12630.0,1270.88,19.86,18.88,64,548,8.56,5.67,2011-10-27 10:41:00,2011-11-30 10:48:00,60,34,0.53125,37.37882352941177,1,0.16014314071767083
12633.0,2163.98,21.43,30.18,101,1162,11.5,20.64,2011-02-25 08:44:00,2011-10-12 11:40:00,73,229,2.267326732673267,9.449694323144104,1,0.18325054503380978
12635.0,1689.18,16.72,13.11,101,1172,11.6,10.99,2011-07-08 08:43:00,2011-09-11 11:04:00,96,65,0.6435643564356436,25.987384615384617,1,0.16022518420068277
12637.0,6021.9,15.44,13.1,390,3002,7.7,6.03,2011-01-20 10:47:00,2011-10-03 13:46:00,205,256,0.6564102564102564,23.523046875,1,0.0926820465983833
12640.0,1174.58,22.16,15.64,53,311,5.87,4.35,2011-09-19 12:01:00,2011-11-16 11:52:00,47,57,1.0754716981132075,20.606666666666666,1,0.16619931332770893
12642.0,1013.26,21.56,17.59,47,552,11.74,9.55,2011-08-24 09:23:00,2011-11-14 15:03:00,39,82,1.7446808510638299,12.356829268292683,1,0.1841469811651828
12643.0,3344.64,139.36,178.85,24,1808,75.33,116.32,2011-01-11 11:48:00,2011-08-03 12:56:00,11,204,8.5,16.395294117647058,-1,-0.0036531906661518843
12645.0,1775.18,24.32,14.85,73,1084,14.85,8.66,2011-01-27 13:08:00,2011-11-06 12:38:00,58,282,3.863013698630137,6.2949645390070925,1,0.1838713664979606
12646.0,1346.97,29.93,17.7,45,897,19.93,16.89,2011-10-21 12:52:00,2011-12-05 10:14:00,43,44,0.9777777777777777,30.612954545454546,1,0.1523150812486918
12647.0,3722.82,30.51,29.14,122,1432,11.74,15.09,2010-12-05 14:02:00,2011-11-17 12:56:00,79,346,2.8360655737704916,10.759595375722544,1,0.15482234370109493
12649.0,623.51,20.11,14.35,31,586,18.9,20.47,2011-05-11 14:37:00,2011-08-24 14:41:00,28,105,3.3870967741935485,5.938190476190476,1,0.18084895020261194
12653.0,2209.85,51.39,62.69,43,919,21.37,12.68,2011-02-16 10:53:00,2011-07-14 10:41:00,37,147,3.4186046511627906,15.03299319727891,1,0.1278145268216883
