StockCode,Description,TotalQuantity,AvgQuantity,OrderCount,TotalRevenue,AvgPrice,UniqueOrders,UniqueCustomers,RevenuePerOrder,ItemsPerOrder,CustomerPenetration
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,365,8.69,42,329.05,7.83,42,33,7.83452380952381,8.69047619047619,0.0076054390412537455
17013D,ORIGAMI ROSE INCENSE IN TUBE,532,48.36,11,257.88,23.44,11,10,23.44363636363636,48.36363636363637,0.00230467849734962
17014A,ORIGAMI VANILLA INCENSE CONES,154,22.0,7,67.83,9.69,7,7,9.69,22.0,0.0016132749481447338
17021,NAMASTE SWAGAT INCENSE,2427,42.58,57,643.14,11.28,47,30,13.683829787234043,51.638297872340424,0.006914035492048859
17028J,INCENSE BAZAAR PEACH,6,6.0,1,2.52,2.52,1,1,2.52,6.0,0.00023046784973496196
17038,PORCELAIN BUDAH INCENSE HOLDER,1501,79.0,19,138.1,7.27,19,18,7.268421052631578,79.0,0.004148421295229315
17084A,TRANQUILITY MASALA INCENSE,200,28.57,7,42.0,6.0,7,7,6.0,28.571428571428573,0.0016132749481447338
17084J,LOVE POTION MASALA INCENSE,225,28.12,8,47.25,5.91,8,8,5.90625,28.125,0.0018437427978796957
17084N,FAIRY DREAMS INCENSE ,1025,32.03,32,212.75,6.65,32,25,6.6484375,32.03125,0.005761696243374049
17084P,DRAGONS BLOOD INCENSE,349,26.85,13,73.29,5.64,13,12,5.6376923076923084,26.846153846153847,0.0027656141968195437
17084R,ASSORTED INCENSE PACK,4032,149.33,27,760.32,28.16,27,16,28.16,149.33333333333334,0.0036874855957593914
17090A,LAVENDER INCENSE 40 CONES IN TIN,109,10.9,10,107.45,10.74,10,9,10.745000000000001,10.9,0.0020742106476146576
17090D,VANILLA INCENSE 40 CONES IN TIN,29,2.23,13,36.25,2.79,12,6,3.0208333333333335,2.4166666666666665,0.0013828070984097719
17091A,LAVENDER INCENSE IN TIN,172,6.62,26,99.29,3.82,25,19,3.9716000000000005,6.88,0.004378889144964277
17091J,VANILLA INCENSE IN TIN,2066,22.7,91,876.34,9.63,87,66,10.07287356321839,23.74712643678161,0.015210878082507491
17096,ASSORTED LAQUERED INCENSE HOLDERS,2516,193.54,13,443.76,34.14,13,12,34.135384615384616,193.53846153846155,0.0027656141968195437
17107D,FLOWER FAIRY 5 DRAWER LINERS,60,2.86,21,153.0,7.29,20,18,7.65,3.0,0.004148421295229315
17107D,FLOWER FAIRY 5 SUMMER DRAW LINERS,6,6.0,1,15.3,15.3,1,1,15.3,6.0,0.00023046784973496196
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",105,4.2,25,267.75,10.71,25,24,10.71,4.2,0.0055312283936390875
17109D,FLOWER FAIRY INCENSE BOUQUET,61,12.2,5,32.35,6.47,5,4,6.470000000000001,12.2,0.0009218713989398478
17129F,BLUE GLASS GEMS IN BAG,427,22.47,19,291.25,15.33,19,11,15.328947368421053,22.473684210526315,0.002535146347084582
17136A,BLUE STONES ON WIRE FOR CANDLE,404,20.2,20,33.75,1.69,17,16,1.9852941176470589,23.764705882352942,0.0036874855957593914
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,29,2.9,10,12.18,1.22,9,9,1.3533333333333333,3.2222222222222223,0.0020742106476146576
17165D,ASS COL LARGE SAND FROG P'WEIGHT,27,3.86,7,28.35,4.05,7,6,4.05,3.857142857142857,0.0013828070984097719
17174,ASSTD RASTA KEY-CHAINS,9,3.0,3,3.78,1.26,3,3,1.26,3.0,0.0006914035492048859
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,4,2.0,2,15.0,7.5,2,1,7.5,2.0,0.00023046784973496196
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,5856,325.33,18,383.76,21.32,17,15,22.574117647058824,344.47058823529414,0.0034570177460244295
18094C,WHITE AND BLUE CERAMIC OIL BURNER,134,8.93,15,153.1,10.21,15,13,10.206666666666667,8.933333333333334,0.0029960820465545056
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER ,5,1.25,4,12.75,3.19,4,4,3.1875,1.25,0.0009218713989398478
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,673,12.02,56,1471.35,26.27,52,43,28.295192307692307,12.942307692307692,0.009910117538603365
18098C,PORCELAIN BUTTERFLY OIL BURNER,193,5.08,38,540.55,14.23,36,24,15.015277777777776,5.361111111111111,0.0055312283936390875
20615,BLUE POLKADOT PASSPORT COVER,231,6.6,35,233.34,6.67,35,28,6.666857142857143,6.6,0.006453099792578935
20616,CHERRY BLOSSOM PASSPORT COVER,134,5.36,25,122.78,4.91,25,19,4.9112,5.36,0.004378889144964277
20617,FIRST CLASS PASSPORT COVER ,66,2.54,26,137.74,5.3,26,20,5.297692307692308,2.5384615384615383,0.00460935699469924
20618,QUEEN OF THE SKIES PASSPORT COVER ,68,2.43,28,137.88,4.92,28,20,4.924285714285714,2.4285714285714284,0.00460935699469924
20619,TROPICAL PASSPORT COVER ,142,6.45,22,206.23,9.37,22,16,9.374090909090908,6.454545454545454,0.0036874855957593914
20622,VIP PASSPORT COVER ,35,3.18,11,73.5,6.68,11,8,6.681818181818182,3.1818181818181817,0.0018437427978796957
20622,VIPPASSPORT COVER ,128,5.82,22,166.68,7.58,21,18,7.937142857142858,6.095238095238095,0.004148421295229315
20652,BLUE POLKADOT LUGGAGE TAG ,150,4.17,36,194.76,5.41,33,26,5.901818181818181,4.545454545454546,0.005992164093109011
20653,CHERRY BLOSSOM LUGGAGE TAG,33,5.5,6,43.67,7.28,6,5,7.278333333333333,5.5,0.00115233924867481
20654,FIRST CLASS LUGGAGE TAG ,105,4.38,24,126.69,5.28,23,21,5.508260869565217,4.565217391304348,0.004839824844434202
20655,QUEEN OF SKIES LUGGAGE TAG,89,2.62,34,109.11,3.21,34,20,3.2091176470588234,2.6176470588235294,0.00460935699469924
20657,TROPICAL LUGGAGE TAG,61,2.77,22,76.39,3.47,22,20,3.472272727272727,2.772727272727273,0.00460935699469924
20658,RED RETROSPOT LUGGAGE TAG,328,5.29,62,410.0,6.61,59,44,6.9491525423728815,5.559322033898305,0.010140585388338327
20659,ECONOMY LUGGAGE TAG,95,2.97,32,140.81,4.4,29,18,4.85551724137931,3.2758620689655173,0.004148421295229315
20661,BLUE POLKADOT PURSE ,9,1.8,5,35.07,7.01,5,3,7.014,1.8,0.0006914035492048859
20662,FIRST CLASS HOLIDAY PURSE ,11,2.2,5,40.97,8.19,5,4,8.193999999999999,2.2,0.0009218713989398478
20663,QUEEN OF THE SKIES HOLIDAY PURSE ,3,1.0,3,11.69,3.9,3,3,3.8966666666666665,1.0,0.0006914035492048859
20664,TROPICAL HOLIDAY PURSE ,6,2.0,3,17.7,5.9,3,3,5.8999999999999995,2.0,0.0006914035492048859
20665,RED RETROSPOT PURSE ,340,4.66,73,998.2,13.67,73,58,13.673972602739727,4.657534246575342,0.013367135284627794
20666,ECONOMY HOLIDAY PURSE,4,1.0,4,11.8,2.95,4,4,2.95,1.0,0.0009218713989398478
20667,CHERRY BLOSSOM PURSE,1,1.0,1,2.95,2.95,1,1,2.95,1.0,0.00023046784973496196
20668,DISCO BALL CHRISTMAS DECORATION,12714,67.63,188,1408.56,7.49,181,111,7.782099447513811,70.24309392265194,0.02558193132058078
20669,RED HEART LUGGAGE TAG,195,4.15,47,243.75,5.19,42,36,5.803571428571429,4.642857142857143,0.00829684259045863
20670,VIP HOLIDAY PURSE,8,1.33,6,29.28,4.88,6,5,4.88,1.3333333333333333,0.00115233924867481
20671,BLUE TEATIME PRINT BOWL ,10,5.0,2,12.5,6.25,2,2,6.25,5.0,0.0004609356994699239
20674,GREEN POLKADOT BOWL,1373,9.03,152,1649.06,10.85,149,101,11.067516778523489,9.21476510067114,0.02327725282323116
20675,BLUE POLKADOT BOWL,2729,12.08,226,3179.9,14.07,223,149,14.259641255605382,12.237668161434977,0.034339709610509334
20676,RED RETROSPOT BOWL,4363,14.35,304,5046.98,16.6,298,185,16.936174496644295,14.640939597315436,0.042636552200967966
20677,PINK POLKADOT BOWL,3159,14.1,224,3642.58,16.26,220,133,16.557181818181817,14.35909090909091,0.030652224014749943
20678,LARGE BLACK DIAMANTE HAIRSLIDE,4,4.0,1,6.6,6.6,1,1,6.6,4.0,0.00023046784973496196
20679,EDWARDIAN PARASOL RED,1630,6.01,271,9055.87,33.42,270,141,33.540259259259265,6.037037037037037,0.03249596681262964
20681,PINK POLKADOT CHILDRENS UMBRELLA,125,3.68,34,406.25,11.95,33,29,12.31060606060606,3.787878787878788,0.006683567642313897
20682,RED RETROSPOT CHILDRENS UMBRELLA,1140,6.23,183,3629.66,19.83,182,138,19.943186813186813,6.263736263736264,0.031804563263424755
20684,STRAWBERRY DREAM CHILDS UMBRELLA,78,2.36,33,253.5,7.68,32,30,7.921875,2.4375,0.006914035492048859
20685,DOORMAT RED RETROSPOT,3901,6.74,579,25397.85,43.87,576,329,44.09348958333333,6.772569444444445,0.07582392256280249
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,255,3.92,65,832.13,12.8,64,51,13.00203125,3.984375,0.01175386033648306
20694,FLORAL PINK MONSTER,36,3.27,11,135.0,12.27,10,9,13.5,3.6,0.0020742106476146576
20695,FLORAL BLUE MONSTER,5,1.25,4,21.25,5.31,4,4,5.3125,1.25,0.0009218713989398478
20696,FLORAL SOFT CAR TOY,32,3.2,10,120.0,12.0,10,10,12.0,3.2,0.00230467849734962
20697,LITTLE GREEN MONSTER SOFT TOY,19,1.73,11,48.45,4.4,9,8,5.383333333333334,2.111111111111111,0.0018437427978796957
20698,LITTLE PINK MONSTER SOFT TOY,16,2.0,8,40.8,5.1,7,7,5.828571428571428,2.2857142857142856,0.0016132749481447338
20699,MOUSEY LONG LEGS SOFT TOY,29,2.64,11,73.95,6.72,11,11,6.722727272727273,2.6363636363636362,0.002535146347084582
20700,GREEN CAT FLORAL CUSHION COVER ,10,2.5,4,37.5,9.38,4,4,9.375,2.5,0.0009218713989398478
20701,PINK CAT FLORAL CUSHION COVER ,6,2.0,3,22.5,7.5,3,3,7.5,2.0,0.0006914035492048859
20702,PINK PADDED MOBILE,128,3.12,41,544.0,13.27,40,31,13.6,3.2,0.007144503341783821
20703,BLUE PADDED SOFT MOBILE,1,1.0,1,4.25,4.25,1,1,4.25,1.0,0.00023046784973496196
20704,MR ROBOT SOFT TOY,211,5.41,39,626.45,16.06,39,38,16.062820512820515,5.410256410256411,0.008757778289928554
20705,MRS ROBOT SOFT TOY,143,5.11,28,428.85,15.32,28,27,15.31607142857143,5.107142857142857,0.006222631942843973
20707,CRAZY DAISY HEART DECORATION,155,5.0,31,195.52,6.31,31,20,6.307096774193549,5.0,0.00460935699469924
20711,JUMBO BAG TOYS ,4198,17.0,247,7689.28,31.13,245,152,31.38481632653061,17.13469387755102,0.03503111315971422
20712,JUMBO BAG WOODLAND ANIMALS,8187,16.47,497,15511.6,31.21,492,248,31.527642276422764,16.640243902439025,0.05715602673427057
20713,JUMBO BAG OWLS,10466,24.86,421,19076.92,45.31,411,207,46.415863746958635,25.464720194647203,0.04770684489513713
20716,PARTY FOOD SHOPPER BAG,314,8.97,35,373.5,10.67,34,31,10.985294117647058,9.235294117647058,0.007144503341783821
20717,STRAWBERRY SHOPPER BAG,2036,8.63,236,2455.88,10.41,231,150,10.631515151515153,8.813852813852813,0.034570177460244295
20718,RED RETROSPOT SHOPPER BAG,4264,10.93,390,5115.31,13.12,384,236,13.321119791666668,11.104166666666666,0.05439041253745103
20719,WOODLAND CHARLOTTE BAG,9237,16.92,546,7277.24,13.33,531,238,13.704783427495292,17.3954802259887,0.05485134823692095
20723,STRAWBERRY CHARLOTTE BAG,6847,13.69,500,5520.95,11.04,492,230,11.221443089430894,13.916666666666666,0.053007605439041254
20724,RED RETROSPOT CHARLOTTE BAG,12809,17.06,751,10125.85,13.48,739,335,13.702097428958051,17.332882273342353,0.07720672966121227
20725,LUNCH BAG RED RETROSPOT,17697,13.45,1316,28048.45,21.31,1288,532,21.77674689440994,13.739906832298137,0.12260889605899977
20725,LUNCH BAG RED SPOTTY,200,200.0,1,290.0,290.0,1,1,290.0,200.0,0.00023046784973496196
20726,LUNCH BAG WOODLAND,9115,10.83,842,14537.11,17.26,820,372,17.72818292682927,11.115853658536585,0.08573404010140585
20727,LUNCH BAG  BLACK SKULL.,11291,10.22,1105,18024.55,16.31,1052,458,17.133602661596957,10.732889733840304,0.10555427517861259
20728,LUNCH BAG CARS BLUE,10820,10.94,989,17265.68,17.46,966,479,17.873374741200827,11.200828157349896,0.11039410002304678
20731,POSY CANDY BAG,74,9.25,8,92.5,11.56,8,8,11.5625,9.25,0.0018437427978796957
20733,GOLD MINI TAPE MEASURE ,918,18.73,49,688.9,14.06,46,30,14.976086956521739,19.956521739130434,0.006914035492048859
20735,BLACK MINI TAPE MEASURE ,158,5.27,30,121.3,4.04,30,11,4.043333333333333,5.266666666666667,0.002535146347084582
20748,KENSINGTON COFFEE SET,53,1.77,30,675.75,22.52,30,26,22.525,1.7666666666666666,0.005992164093109011
20749,ASSORTED COLOUR MINI CASES,1719,4.67,368,12123.41,32.94,365,239,33.214821917808216,4.7095890410958905,0.05508181608665591
20750,RED RETROSPOT MINI CASES,1712,4.66,367,12216.8,33.29,365,235,33.470684931506845,4.69041095890411,0.054159944687716066
20751,FUNKY WASHING UP GLOVES ASSORTED,973,4.94,197,1984.26,10.07,171,127,11.603859649122807,5.690058479532164,0.02926941691634017
20752,BLUE POLKADOT WASHING UP GLOVES,367,3.14,117,770.7,6.59,115,91,6.701739130434783,3.1913043478260867,0.020972574325881538
20754,RETROSPOT RED WASHING UP GLOVES,1356,5.58,243,2670.48,10.99,239,153,11.173556485355649,5.673640167364017,0.035261581009449185
20755,BLUE PAISLEY POCKET BOOK,292,5.73,51,248.2,4.87,50,44,4.9639999999999995,5.84,0.010140585388338327
20756,GREEN FERN POCKET BOOK,63,2.86,22,53.55,2.43,22,20,2.434090909090909,2.8636363636363638,0.00460935699469924
20757,RED DAISY POCKET BOOK ,164,4.97,33,140.18,4.25,30,30,4.672666666666667,5.466666666666667,0.006914035492048859
20758,ABSTRACT CIRCLES POCKET BOOK,161,3.66,44,136.85,3.11,41,35,3.3378048780487806,3.926829268292683,0.00806637474072367
20759,CHRYSANTHEMUM POCKET BOOK ,64,3.2,20,54.4,2.72,20,17,2.7199999999999998,3.2,0.003917953445494353
20760,GARDEN PATH POCKET BOOK,69,3.14,22,58.65,2.67,21,18,2.7928571428571427,3.2857142857142856,0.004148421295229315
20761,BLUE PAISLEY SKETCHBOOK,110,2.0,55,419.92,7.63,52,46,8.075384615384616,2.1153846153846154,0.010601521087808251
20762,GREEN FERN SKETCHBOOK ,101,1.98,51,382.46,7.5,51,42,7.49921568627451,1.9803921568627452,0.009679649688868404
20763,DAISY SKETCHBOOK ,71,2.84,25,189.96,7.6,25,24,7.598400000000001,2.84,0.0055312283936390875
20764,ABSTRACT CIRCLES SKETCHBOOK ,128,2.06,62,491.13,7.92,60,45,8.1855,2.1333333333333333,0.010371053238073288
20765,CHRYSANTHEMUM SKETCHBOOK ,96,1.81,53,374.84,7.07,51,45,7.349803921568627,1.8823529411764706,0.010371053238073288
20766,GARDEN PATH SKETCHBOOK,113,2.26,50,422.08,8.44,47,41,8.980425531914893,2.404255319148936,0.00944918183913344
20767,BLUE PAISLEY JOURNAL ,217,3.56,61,541.97,8.88,58,50,9.344310344827587,3.7413793103448274,0.011523392486748099
20768,GREEN FERN JOURNAL ,131,3.54,37,320.26,8.66,36,31,8.89611111111111,3.638888888888889,0.007144503341783821
20769,DAISY JOURNAL ,66,2.54,26,173.12,6.66,26,21,6.658461538461538,2.5384615384615383,0.004839824844434202
20770,ABSTRACT CIRCLE JOURNAL ,108,3.72,29,259.2,8.94,28,24,9.257142857142856,3.857142857142857,0.0055312283936390875
20771,CHRYSANTHEMUM  JOURNAL,71,2.54,28,183.46,6.55,27,21,6.794814814814815,2.6296296296296298,0.004839824844434202
20772,GARDEN PATH JOURNAL,218,4.74,46,534.46,11.62,46,40,11.618695652173914,4.739130434782608,0.00921871398939848
20773,BLUE PAISLEY NOTEBOOK,56,2.33,24,92.4,3.85,23,21,4.017391304347826,2.4347826086956523,0.004839824844434202
20774,GREEN FERN NOTEBOOK,52,2.26,23,85.8,3.73,22,21,3.9,2.3636363636363638,0.004839824844434202
