CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Total,RFM_Segment,FirstPurchase,LastPurchase,AvgOrderValue,OrderValueStd,TotalItems,AvgItemsPerOrder,ProductDiversity,Country,CustomerLifetime,DaysSinceLastPurchase,PurchaseFrequency
12363,110,2,552.0,2,2,3,7,Lost,2011-04-11 13:29:00,2011-08-22 10:18:00,24.0,15.75,408,17.74,23,Unspecified,132,110,
12364,8,4,1313.1,5,4,4,13,Champions,2011-08-19 15:24:00,2011-12-02 10:22:00,15.45,8.91,1506,17.72,70,Belgium,104,8,
12365,291,2,641.38,1,2,3,6,Lost,2011-02-21 13:51:00,2011-02-21 14:04:00,29.15,65.2,174,7.91,22,Cyprus,0,291,
12367,4,1,168.9,5,1,1,7,New Customers,2011-12-05 16:48:00,2011-12-05 16:48:00,15.35,5.65,173,15.73,11,Denmark,0,4,
12370,51,4,3545.69,3,4,5,12,Potential Loyalists,2010-12-14 12:58:00,2011-10-19 14:51:00,21.23,21.12,2353,14.09,143,Cyprus,309,51,
12371,45,2,1887.96,3,2,4,9,Potential Loyalists,2011-10-11 10:43:00,2011-10-26 10:16:00,29.97,44.28,591,9.38,63,Switzerland,14,45,
12372,72,3,1298.04,3,3,4,10,Potential Loyalists,2011-02-16 12:46:00,2011-09-29 12:12:00,24.96,16.38,794,15.27,34,Denmark,224,72,
12373,311,1,364.6,1,1,2,4,Lost,2011-02-01 13:10:00,2011-02-01 13:10:00,26.04,10.26,197,14.07,14,Austria,0,311,
12374,25,1,742.9300000000001,4,1,3,8,New Customers,2011-11-14 15:37:00,2011-11-14 15:37:00,22.51,19.77,342,10.36,33,Austria,0,25,
12375,11,2,457.5,5,2,2,9,New Customers,2011-09-02 14:23:00,2011-11-29 10:36:00,26.91,14.67,178,10.47,14,Finland,87,11,
12377,315,2,1628.12,1,2,4,7,Lost,2010-12-20 09:37:00,2011-01-28 15:45:00,21.14,15.53,944,12.26,72,Switzerland,39,315,
12378,130,1,4008.62,2,1,5,8,Lost,2011-08-02 10:34:00,2011-08-02 10:34:00,18.3,8.96,2529,11.55,219,Switzerland,0,130,
12379,82,2,852.24,2,2,3,7,Lost,2011-06-22 16:32:00,2011-09-19 10:09:00,21.31,12.2,407,10.18,39,Belgium,88,82,
12380,22,4,2724.81,4,4,5,13,Champions,2011-06-07 09:49:00,2011-11-18 11:27:00,26.2,27.09,1127,10.84,77,Belgium,164,22,
12381,5,5,1845.31,5,4,4,13,Champions,2011-08-12 09:57:00,2011-12-05 12:44:00,21.21,25.89,808,9.29,70,Norway,115,5,
12383,185,5,1850.56,1,4,4,9,At Risk,2010-12-22 14:28:00,2011-06-08 08:02:00,18.69,12.68,1532,15.47,84,Belgium,167,185,
12384,29,2,585.27,4,2,3,9,New Customers,2011-08-10 11:23:00,2011-11-11 08:39:00,21.68,17.3,126,4.67,26,Switzerland,92,29,
12386,338,2,401.9,1,2,2,5,Lost,2010-12-08 09:53:00,2011-01-06 12:37:00,40.19,22.82,354,35.4,10,Australia,29,338,
12388,16,6,2780.66,4,4,5,13,Champions,2011-01-17 11:12:00,2011-11-24 12:30:00,27.81,16.84,1462,14.62,57,Australia,311,16,
12390,80,1,549.84,2,1,3,6,Lost,2011-09-21 09:33:00,2011-09-21 09:33:00,17.18,7.17,353,11.03,32,Belgium,0,80,
12391,22,1,460.89,4,1,2,7,New Customers,2011-11-18 12:07:00,2011-11-18 12:07:00,4.61,5.52,300,3.0,92,Cyprus,0,22,
12393,72,4,1582.6000000000001,3,4,4,11,Potential Loyalists,2011-01-11 09:47:00,2011-09-28 15:41:00,24.73,18.05,816,12.75,47,Australia,260,72,
12394,64,2,1272.48,3,2,4,9,Potential Loyalists,2011-05-06 14:01:00,2011-10-07 08:08:00,47.13,64.92,819,30.33,26,Belgium,153,64,
12395,19,12,3018.63,4,5,5,14,Champions,2010-12-03 16:35:00,2011-11-20 15:21:00,19.35,12.64,2118,13.58,91,Belgium,351,19,
12397,36,2,2409.9,3,2,5,10,Potential Loyalists,2011-07-27 14:21:00,2011-11-04 09:52:00,19.13,15.7,1263,10.02,110,Belgium,99,36,
12398,46,1,1635.6599999999999,3,1,4,8,Potential Loyalists,2011-10-25 10:27:00,2011-10-25 10:27:00,19.24,22.43,1394,16.4,85,Switzerland,0,46,
12399,119,4,1108.65,2,4,4,10,At Risk,2011-03-23 09:42:00,2011-08-12 13:15:00,18.79,10.49,1178,19.97,47,Belgium,142,119,
12401,303,1,84.3,1,1,1,3,Lost,2011-02-09 13:50:00,2011-02-09 13:50:00,16.86,5.42,11,2.2,5,Belgium,0,303,
12402,323,1,225.6,1,1,1,3,Lost,2011-01-20 13:49:00,2011-01-20 13:49:00,20.51,7.23,94,8.55,11,Belgium,0,323,
12403,50,1,427.7,3,1,2,6,Others,2011-10-21 10:51:00,2011-10-21 10:51:00,85.54,64.98,96,19.2,5,Denmark,0,50,
12405,149,1,1710.39,2,1,4,7,Lost,2011-07-14 08:52:00,2011-07-14 08:52:00,31.67,42.77,857,15.87,54,Finland,0,149,
12406,22,2,3415.3,4,2,5,11,New Customers,2011-06-09 10:23:00,2011-11-17 19:22:00,32.53,23.68,1818,17.31,92,Denmark,161,22,
12407,50,5,1708.1200000000001,3,4,4,11,Potential Loyalists,2011-03-20 13:21:00,2011-10-21 10:11:00,22.18,16.7,1416,18.39,57,Belgium,214,50,
12408,33,5,2888.55,4,4,5,13,Champions,2011-03-24 14:46:00,2011-11-07 12:27:00,27.51,24.17,1409,13.42,81,Belgium,227,33,
12409,79,3,11072.67,2,3,5,10,At Risk,2011-06-10 12:19:00,2011-09-22 10:38:00,101.58,61.51,5551,50.93,91,Switzerland,103,79,
12410,309,2,693.3299999999999,1,2,3,6,Lost,2011-02-04 10:38:00,2011-02-04 10:39:00,26.67,28.21,211,8.12,26,Switzerland,0,309,
12412,75,3,1226.88,2,3,4,9,At Risk,2011-06-23 13:51:00,2011-09-26 10:16:00,20.11,12.51,829,13.59,43,Denmark,94,75,
12413,67,3,758.1,3,3,3,9,Others,2011-01-06 16:12:00,2011-10-04 09:00:00,19.95,10.27,286,7.53,29,France,270,67,
12414,217,3,562.41,1,3,3,7,At Risk,2011-02-02 14:51:00,2011-05-06 14:51:00,31.24,18.57,300,16.67,16,Austria,93,217,
12415,24,21,124914.53,4,5,5,14,Champions,2011-01-06 11:12:00,2011-11-15 14:22:00,174.46,181.08,77670,108.48,444,Australia,313,24,
12417,3,9,3649.1,5,5,5,15,Champions,2010-12-17 11:51:00,2011-12-06 14:52:00,19.01,11.08,1552,8.08,158,Belgium,354,3,
12418,113,1,668.58,2,1,3,6,Lost,2011-08-19 11:08:00,2011-08-19 11:08:00,19.66,16.13,407,11.97,34,Switzerland,0,113,
12420,64,1,600.39,3,1,3,7,Others,2011-10-07 08:55:00,2011-10-07 08:55:00,20.7,9.2,345,11.9,29,Cyprus,0,64,
12421,16,4,807.04,4,4,3,11,Loyal Customers,2011-01-24 15:09:00,2011-11-24 09:07:00,17.93,11.56,484,10.76,32,Spain,303,16,
12422,96,3,803.5600000000001,2,3,3,8,At Risk,2011-01-19 09:13:00,2011-09-05 09:48:00,20.6,17.52,370,9.49,39,Australia,229,96,
12423,1,8,1859.31,5,5,4,14,Champions,2010-12-21 10:54:00,2011-12-09 10:10:00,14.87,7.84,1339,10.71,97,Belgium,352,1,
12424,163,2,1760.96,2,2,4,8,Lost,2011-06-30 12:06:00,2011-06-30 12:06:00,58.7,62.47,740,24.67,30,Australia,0,163,
12425,78,1,777.2,2,1,3,6,Lost,2011-09-22 17:31:00,2011-09-22 17:31:00,21.59,14.69,496,13.78,36,Portugal,0,78,
12426,195,1,582.73,1,1,3,5,Lost,2011-05-29 12:26:00,2011-05-29 12:26:00,19.42,11.49,258,8.6,30,Germany,0,195,
12427,22,3,825.8,4,3,3,10,Loyal Customers,2010-12-03 10:44:00,2011-11-18 08:56:00,26.64,17.5,533,17.19,26,Germany,349,22,
12428,26,9,7956.46,4,5,5,14,Champions,2011-03-01 09:33:00,2011-11-14 08:22:00,27.06,43.43,3536,12.03,258,Finland,257,26,
12429,9,4,3750.4,5,4,5,14,Champions,2010-12-09 12:05:00,2011-11-30 17:22:00,38.66,35.85,1557,16.05,82,Denmark,356,9,
12430,43,1,256.4,3,1,2,6,Others,2011-10-27 15:09:00,2011-10-27 15:09:00,23.31,14.03,117,10.64,11,Norway,0,43,
12431,36,15,6487.45,3,5,5,13,Potential Loyalists,2010-12-01 10:03:00,2011-11-04 11:55:00,27.49,50.26,2918,12.36,163,Australia,338,36,
12432,43,5,5059.32,3,4,5,12,Potential Loyalists,2011-06-20 13:27:00,2011-10-28 11:43:00,46.85,75.68,1801,16.68,107,Norway,129,43,
12433,1,7,13375.87,5,5,5,15,Champions,2010-12-01 13:24:00,2011-12-09 10:02:00,31.85,27.04,11071,26.36,219,Norway,372,1,
12434,85,2,806.14,2,2,3,7,Lost,2011-03-24 13:05:00,2011-09-16 12:38:00,16.12,8.34,394,7.88,46,Australia,175,85,
12435,80,2,7829.89,2,2,5,9,Lost,2011-03-17 07:40:00,2011-09-21 09:06:00,217.5,118.22,2055,57.08,31,Denmark,188,80,
12436,100,1,509.01,2,1,3,6,Lost,2011-09-01 12:09:00,2011-09-01 12:09:00,31.81,18.85,211,13.19,16,Norway,0,100,
12437,2,18,4951.41,5,5,5,15,Champions,2011-01-12 14:13:00,2011-12-08 11:35:00,24.76,18.29,2923,14.62,119,France,329,2,
12438,14,2,2906.85,4,2,5,11,New Customers,2011-07-22 13:29:00,2011-11-25 13:28:00,29.66,40.55,1180,12.04,84,Norway,125,14,
12441,367,1,173.55,1,1,1,3,Lost,2010-12-08 10:45:00,2010-12-08 10:45:00,15.78,4.0,121,11.0,11,France,0,367,
12442,3,1,172.06,5,1,1,7,New Customers,2011-12-06 14:22:00,2011-12-06 14:22:00,14.34,8.01,182,15.17,12,Spain,0,3,
12444,21,5,5005.46,4,4,5,13,Champions,2011-06-21 14:00:00,2011-11-18 13:23:00,28.28,36.34,1155,6.53,138,Norway,149,21,
12445,22,1,133.4,4,1,1,6,New Customers,2011-11-17 18:43:00,2011-11-17 18:43:00,33.35,16.23,62,15.5,4,Spain,0,22,
12446,58,1,1002.3100000000001,3,1,4,8,Potential Loyalists,2011-10-13 12:50:00,2011-10-13 12:50:00,17.28,6.49,352,6.07,58,RSA,0,58,
12447,243,1,476.49,1,1,2,4,Lost,2011-04-10 13:25:00,2011-04-10 13:25:00,18.33,7.18,190,7.31,26,Belgium,0,243,
12448,44,1,449.45,3,1,2,6,Others,2011-10-26 13:46:00,2011-10-26 13:46:00,20.43,19.12,243,11.05,22,Spain,0,44,
12449,22,4,4067.29,4,4,5,13,Champions,2011-06-05 15:37:00,2011-11-17 13:46:00,21.29,17.99,1553,8.13,118,Belgium,164,22,
12450,156,2,197.88,2,2,1,5,Lost,2011-06-19 14:36:00,2011-07-06 14:41:00,24.74,18.19,128,16.0,7,Spain,17,156,
12451,11,5,9035.52,5,4,5,14,Champions,2011-01-19 09:05:00,2011-11-29 08:40:00,25.52,21.14,6575,18.57,265,Switzerland,313,11,
12452,17,2,430.57,4,2,2,8,New Customers,2011-11-23 08:05:00,2011-11-23 10:28:00,19.57,16.02,185,8.41,21,Switzerland,0,17,
12453,134,1,707.09,2,1,3,6,Lost,2011-07-28 14:08:00,2011-07-28 14:08:00,16.44,5.04,473,11.0,43,Austria,0,134,
12454,56,1,3528.34,3,1,5,9,Potential Loyalists,2011-10-14 17:13:00,2011-10-14 17:13:00,235.22,104.5,1006,67.07,15,Spain,0,56,
12455,73,6,2466.86,2,4,5,11,At Risk,2011-02-16 09:56:00,2011-09-27 15:31:00,27.41,23.52,2089,23.21,85,Cyprus,223,73,
12456,44,3,3181.04,3,3,5,11,Potential Loyalists,2011-03-30 09:12:00,2011-10-26 14:41:00,25.45,34.24,1633,13.06,105,Switzerland,210,44,
12457,66,7,2363.23,3,5,5,13,Potential Loyalists,2011-04-14 18:57:00,2011-10-04 13:13:00,37.51,46.17,844,13.4,53,Switzerland,172,66,
12458,71,2,947.4,3,2,4,9,Potential Loyalists,2011-02-28 10:55:00,2011-09-29 15:25:00,24.93,18.03,506,13.32,35,Switzerland,213,71,
12461,94,2,826.88,2,2,3,7,Lost,2011-07-08 10:23:00,2011-09-06 16:57:00,23.63,32.84,287,8.2,35,Switzerland,60,94,
12462,19,2,1189.59,4,2,4,10,New Customers,2011-02-09 14:44:00,2011-11-21 09:11:00,19.19,21.33,536,8.65,51,Spain,284,19,
12463,53,4,1344.78,3,4,4,11,Potential Loyalists,2011-04-12 12:47:00,2011-10-17 13:44:00,16.2,7.33,776,9.35,65,Belgium,188,53,
12464,10,8,1212.05,5,5,4,14,Champions,2011-02-03 13:30:00,2011-11-29 13:33:00,41.79,26.57,112,3.86,6,Belgium,299,10,
12465,17,2,742.1899999999999,4,2,3,9,New Customers,2011-06-23 13:37:00,2011-11-22 16:34:00,15.79,6.35,479,10.19,46,Belgium,152,17,
12468,188,2,729.5400000000001,1,2,3,6,Lost,2011-01-27 13:29:00,2011-06-05 11:36:00,19.2,11.89,366,9.63,36,Germany,128,188,
12471,2,30,19824.05,5,5,5,15,Champions,2010-12-10 09:35:00,2011-12-07 15:43:00,43.1,76.19,8212,17.85,150,Germany,362,2,
12472,32,7,6572.11,4,5,5,14,Champions,2010-12-05 14:19:00,2011-11-07 14:01:00,19.39,15.53,4148,12.24,219,Germany,336,32,
12473,29,5,3938.5499999999997,4,4,5,13,Champions,2011-06-01 10:15:00,2011-11-10 13:46:00,23.44,53.24,2439,14.52,140,Germany,162,29,
12474,17,18,7375.79,4,5,5,14,Champions,2011-01-14 10:06:00,2011-11-22 14:39:00,17.4,10.21,4847,11.43,253,Germany,312,17,
12475,54,1,723.38,3,1,3,7,Others,2011-10-17 10:10:00,2011-10-17 10:10:00,20.09,10.98,535,14.86,36,Germany,0,54,
12476,16,11,6816.42,4,5,5,14,Champions,2010-12-13 14:39:00,2011-11-24 12:40:00,29.26,26.01,2408,10.33,177,Germany,345,16,
12477,23,6,13219.74,4,4,5,13,Champions,2011-02-11 12:45:00,2011-11-17 09:51:00,44.07,48.76,3653,12.18,191,Germany,278,23,
12478,4,1,680.99,5,1,3,9,New Customers,2011-12-06 09:56:00,2011-12-06 09:56:00,18.92,20.81,236,6.56,36,Greece,0,4,
12479,11,1,527.2,5,1,3,9,New Customers,2011-11-28 13:26:00,2011-11-28 13:26:00,17.01,9.07,385,12.42,31,Germany,0,11,
12480,28,4,3281.63,4,4,5,13,Champions,2011-01-07 15:27:00,2011-11-11 14:52:00,21.31,28.91,1707,11.08,129,Germany,307,28,
12481,23,10,5596.32,4,5,5,14,Champions,2010-12-09 10:13:00,2011-11-17 08:29:00,25.79,20.61,3304,15.23,150,Germany,342,23,
12483,17,8,2484.98,4,5,5,14,Champions,2011-01-04 14:20:00,2011-11-22 17:02:00,33.13,31.41,1110,14.8,46,Sweden,322,17,
12484,33,6,4541.72,4,4,5,13,Champions,2011-01-07 14:04:00,2011-11-07 11:37:00,13.13,17.15,2191,6.33,256,Spain,303,33,
12488,10,3,1298.66,5,3,4,12,Loyal Customers,2011-09-25 10:34:00,2011-11-30 08:50:00,23.61,16.83,529,9.62,46,France,65,10,
12489,336,1,334.93,1,1,2,4,Lost,2011-01-07 13:13:00,2011-01-07 13:13:00,22.33,8.67,105,7.0,15,France,0,336,
12490,5,10,5417.93,5,5,5,15,Champions,2011-01-14 09:13:00,2011-12-04 16:07:00,22.11,17.13,3064,12.51,131,France,324,5,
12491,39,1,460.40000000000003,3,1,2,6,Others,2011-11-01 12:18:00,2011-11-01 12:18:00,17.71,9.37,260,10.0,25,France,0,39,
12492,63,2,263.21000000000004,3,2,2,7,Others,2011-08-26 14:51:00,2011-10-07 15:15:00,13.16,5.37,192,9.6,19,Germany,42,63,
12493,166,2,433.74,2,2,2,6,Lost,2011-05-26 14:53:00,2011-06-27 10:17:00,19.72,5.78,207,9.41,20,France,31,166,
12494,16,7,1246.1000000000001,4,5,4,13,Champions,2010-12-09 11:31:00,2011-11-24 09:34:00,16.18,7.52,707,9.18,63,France,349,16,
12497,82,1,1043.1,2,1,4,7,Lost,2011-09-19 12:29:00,2011-09-19 12:29:00,74.51,44.85,1236,88.29,14,Germany,0,82,
12498,21,3,403.70000000000005,4,3,2,9,Loyal Customers,2011-10-13 09:30:00,2011-11-18 12:53:00,17.55,6.96,159,6.91,21,Germany,36,21,
12500,23,11,4257.82,4,5,5,14,Champions,2011-01-10 09:48:00,2011-11-16 16:20:00,69.8,96.52,2678,43.9,34,Germany,310,23,
12501,337,1,2169.39,1,1,5,7,Lost,2011-01-07 12:28:00,2011-01-07 12:28:00,14.56,11.64,1783,11.97,149,Germany,0,337,
12502,96,5,3723.87,2,4,5,11,At Risk,2011-02-03 10:41:00,2011-09-05 11:52:00,25.33,29.73,820,5.58,102,Spain,214,96,
12504,18,2,482.04999999999995,4,2,2,8,New Customers,2011-11-09 14:56:00,2011-11-21 16:02:00,53.56,46.54,90,10.0,6,Germany,12,18,
12506,233,1,73.5,1,1,1,3,Lost,2011-04-21 08:54:00,2011-04-21 08:54:00,3.2,2.09,23,1.0,23,France,0,233,
12507,134,3,1304.81,2,3,4,9,At Risk,2011-02-14 09:24:00,2011-07-28 17:09:00,59.31,54.84,905,41.14,19,Spain,164,134,
12508,26,2,398.27,4,2,2,8,New Customers,2011-11-10 16:27:00,2011-11-13 15:37:00,5.77,4.45,272,3.94,57,France,2,26,
12509,284,1,176.5,1,1,1,3,Lost,2011-02-28 14:45:00,2011-02-28 14:45:00,25.21,18.92,55,7.86,7,France,0,284,
12510,143,2,982.5699999999999,2,2,4,8,Lost,2011-01-18 14:04:00,2011-07-20 10:15:00,29.77,32.12,353,10.7,29,Spain,182,143,
12512,66,2,138.03,3,2,1,6,Others,2011-10-04 14:53:00,2011-10-04 14:55:00,4.06,2.87,99,2.91,31,Israel,0,66,
12513,113,1,612.29,2,1,3,6,Lost,2011-08-19 10:51:00,2011-08-19 10:51:00,17.49,9.99,462,13.2,35,France,0,113,
12514,267,1,1017.68,1,1,4,6,Lost,2011-03-17 16:38:00,2011-03-17 16:38:00,19.95,10.64,440,8.63,51,Italy,0,267,
12515,353,1,383.7,1,1,2,4,Lost,2010-12-21 15:43:00,2010-12-21 15:43:00,23.98,22.11,131,8.19,16,Italy,0,353,
12516,78,2,1312.06,2,2,4,8,Lost,2011-06-12 11:37:00,2011-09-23 09:13:00,50.46,32.55,875,33.65,20,Germany,102,78,
12517,28,5,2502.84,4,4,5,13,Champions,2011-06-02 15:13:00,2011-11-11 14:04:00,8.81,8.34,1371,4.83,232,Germany,161,28,
12518,1,5,2056.89,5,4,4,13,Champions,2011-08-21 13:18:00,2011-12-09 10:13:00,16.59,8.98,1318,10.63,84,Germany,109,1,
12519,64,1,340.84,3,1,2,6,Others,2011-10-07 09:26:00,2011-10-07 09:26:00,18.94,10.91,183,10.17,17,Germany,0,64,
12520,79,5,2634.26,2,4,5,11,At Risk,2011-03-11 11:35:00,2011-09-21 15:23:00,17.33,11.73,1439,9.47,121,Germany,194,79,
12521,143,1,599.68,2,1,3,6,Lost,2011-07-20 10:51:00,2011-07-20 10:51:00,15.78,8.92,309,8.13,38,Germany,0,143,
12522,39,2,192.72,3,2,1,6,Others,2011-10-19 14:41:00,2011-10-31 15:30:00,16.06,4.29,194,16.17,11,Germany,12,39,
12523,19,11,1789.77,4,5,4,13,Champions,2011-01-12 09:43:00,2011-11-20 12:55:00,16.88,5.42,865,8.16,84,France,312,19,
12524,9,8,4485.72,5,5,5,15,Champions,2011-01-10 10:35:00,2011-11-30 15:31:00,31.15,33.08,3699,25.69,113,Germany,324,9,
12526,1,3,1316.66,5,3,4,12,Loyal Customers,2011-09-06 14:19:00,2011-12-09 12:09:00,18.54,8.52,632,8.9,64,Germany,93,1,
12527,82,3,348.71000000000004,2,3,2,7,Others,2011-01-18 12:05:00,2011-09-19 11:55:00,19.37,13.67,234,13.0,18,Germany,243,82,
12528,9,6,1933.48,5,5,4,14,Champions,2011-01-31 09:05:00,2011-11-30 14:40:00,21.02,12.02,756,8.22,50,Germany,303,9,
12530,60,4,1662.28,3,4,4,11,Potential Loyalists,2011-01-07 10:04:00,2011-10-11 12:34:00,25.19,19.08,913,13.83,51,Germany,277,60,
12531,15,1,125.22,4,1,1,6,New Customers,2011-11-25 11:12:00,2011-11-25 11:12:00,7.37,6.8,45,2.65,17,Germany,0,15,
12532,30,1,349.83000000000004,4,1,2,7,New Customers,2011-11-09 13:47:00,2011-11-09 13:47:00,21.86,9.54,153,9.56,16,France,0,30,
12534,131,1,1089.18,2,1,4,7,Lost,2011-08-01 10:26:00,2011-08-01 10:26:00,17.29,13.11,651,10.33,63,Germany,0,131,
12535,92,2,716.35,2,2,3,7,Lost,2011-06-06 12:47:00,2011-09-09 08:48:00,21.07,8.92,219,6.44,28,France,94,92,
12536,43,3,12601.830000000002,3,3,5,11,Potential Loyalists,2011-10-11 14:52:00,2011-10-27 14:20:00,48.28,362.18,2803,10.74,260,France,15,43,
12538,29,1,363.95,4,1,2,7,New Customers,2011-11-10 17:16:00,2011-11-10 17:16:00,17.33,7.19,191,9.1,21,Spain,0,29,
12539,22,4,5568.35,4,4,5,13,Champions,2011-01-10 09:11:00,2011-11-17 13:30:00,20.4,17.99,2067,7.57,157,Spain,311,22,
12540,20,17,13400.24,4,5,5,14,Champions,2010-12-13 09:39:00,2011-11-20 11:31:00,28.03,29.06,6685,13.99,277,Spain,342,20,
12541,30,3,981.18,4,3,4,11,Loyal Customers,2011-03-04 09:32:00,2011-11-10 10:40:00,18.87,12.46,680,13.08,46,Spain,251,30,
12544,36,1,372.7,3,1,2,6,Others,2011-11-03 16:15:00,2011-11-03 16:15:00,19.62,10.29,136,7.16,19,Spain,0,36,
12545,75,2,1000.39,2,2,4,8,Lost,2011-03-25 12:04:00,2011-09-25 13:39:00,20.01,14.5,523,10.46,42,Spain,184,75,
12546,47,2,1161.5,3,2,4,9,Potential Loyalists,2011-09-23 09:44:00,2011-10-24 12:09:00,16.83,10.42,633,9.17,59,Spain,31,47,
12547,198,2,207.79999999999998,1,2,1,4,Lost,2011-03-04 12:46:00,2011-05-26 12:38:00,25.98,4.71,134,16.75,7,Spain,82,198,
12548,166,1,95.19999999999999,2,1,1,4,Lost,2011-06-26 15:35:00,2011-06-26 15:35:00,19.04,5.12,49,9.8,5,Spain,0,166,
12550,79,1,964.83,2,1,4,7,Lost,2011-09-21 14:35:00,2011-09-21 14:35:00,16.93,17.69,569,9.98,57,Spain,0,79,
12551,358,1,168.0,1,1,1,3,Lost,2010-12-17 11:23:00,2010-12-17 11:23:00,16.8,3.2,100,10.0,10,Spain,0,358,
12552,39,2,437.82,3,2,2,7,Others,2011-10-31 12:11:00,2011-11-01 10:02:00,21.89,23.76,88,4.4,20,Italy,0,39,
12553,8,10,3692.28,5,5,5,15,Champions,2011-01-14 10:42:00,2011-12-01 16:38:00,19.33,11.88,1965,10.29,95,France,321,8,
12556,50,2,603.71,3,2,3,8,Others,2011-07-11 13:35:00,2011-10-20 13:06:00,4.99,3.85,358,2.96,100,Spain,100,50,
12557,16,5,11990.960000000001,4,4,5,13,Champions,2010-12-03 12:20:00,2011-11-23 16:59:00,363.36,446.2,4384,132.85,15,Spain,355,16,
12558,8,1,269.96,5,1,2,8,New Customers,2011-12-02 10:41:00,2011-12-02 10:41:00,24.54,22.01,196,17.82,11,USA,0,8,
12559,311,2,561.71,1,2,3,6,Lost,2011-01-24 10:12:00,2011-02-02 09:49:00,26.75,24.54,283,13.48,21,Germany,8,311,
12560,5,3,2134.01,5,3,5,13,Loyal Customers,2011-07-19 15:55:00,2011-12-04 13:54:00,20.32,17.18,1110,10.57,91,Germany,137,5,
12561,303,1,238.85,1,1,1,3,Lost,2011-02-10 11:39:00,2011-02-10 11:39:00,14.93,4.68,177,11.06,16,Germany,0,303,
12562,8,7,3781.7400000000002,5,5,5,15,Champions,2011-05-25 12:44:00,2011-12-01 17:20:00,22.51,19.08,1779,10.59,99,France,190,8,
12564,261,1,456.9,1,1,2,4,Lost,2011-03-23 14:55:00,2011-03-23 14:55:00,21.76,8.37,133,6.33,21,France,0,261,
12565,289,1,145.92,1,1,1,3,Lost,2011-02-24 10:34:00,2011-02-24 10:34:00,16.21,4.99,80,8.89,9,Saudi Arabia,0,289,
12566,86,1,351.65,2,1,2,5,Lost,2011-09-14 14:30:00,2011-09-14 14:30:00,18.51,9.86,265,13.95,19,Germany,0,86,
12567,23,10,9401.28,4,5,5,14,Champions,2010-12-05 11:57:00,2011-11-17 11:02:00,21.08,17.3,4305,9.65,323,France,346,23,
12569,2,32,4124.69,5,5,5,15,Champions,2011-04-01 13:47:00,2011-12-07 16:24:00,21.94,14.51,1801,9.58,92,Germany,250,2,
12571,40,2,519.61,3,2,3,8,Others,2011-08-10 12:35:00,2011-10-31 10:19:00,15.28,6.17,523,15.38,31,France,81,40,
