InvoiceDate,Country,TotalRevenue,AvgOrderValue,TransactionCount,UniqueOrders,UniqueCustomers,TotalItems,YearMonth,Year,Month
2011-08,Denmark,213.15,13.32,16,1,1,338,2011-08,2011,8
2011-08,EIRE,16967.38,28.61,593,17,2,9331,2011-08,2011,8
2011-08,Finland,1376.5,22.57,61,3,2,693,2011-08,2011,8
2011-08,France,13810.96,24.27,569,28,22,7958,2011-08,2011,8
2011-08,Germany,19220.77,24.18,795,39,29,9641,2011-08,2011,8
2011-08,Iceland,584.91,26.59,22,1,1,277,2011-08,2011,8
2011-08,Israel,4873.81,28.5,171,1,1,3028,2011-08,2011,8
2011-08,Italy,1990.95,20.96,95,4,3,1147,2011-08,2011,8
2011-08,Malta,1119.0,20.35,55,2,2,382,2011-08,2011,8
2011-08,Netherlands,40327.81,144.03,280,8,1,29876,2011-08,2011,8
2011-08,Norway,2025.81,26.31,77,2,2,636,2011-08,2011,8
2011-08,Poland,401.8,23.64,17,2,2,186,2011-08,2011,8
2011-08,Portugal,1221.4,29.79,41,1,1,1026,2011-08,2011,8
2011-08,Spain,3346.91,13.28,252,10,6,1600,2011-08,2011,8
2011-08,Sweden,1400.86,35.02,40,5,4,1314,2011-08,2011,8
2011-08,Switzerland,4969.89,18.61,267,3,3,2998,2011-08,2011,8
2011-08,United Kingdom,498453.32,21.57,23105,1133,834,310832,2011-08,2011,8
2011-08,Unspecified,531.03,23.09,23,2,2,185,2011-08,2011,8
2011-09,Australia,5106.73,50.07,102,8,6,4079,2011-09,2011,9
2011-09,Belgium,4208.02,22.87,184,7,7,1969,2011-09,2011,9
2011-09,Channel Islands,1323.75,20.37,65,2,2,764,2011-09,2011,9
2011-09,Cyprus,196.35,196.35,1,1,1,33,2011-09,2011,9
2011-09,Denmark,4570.16,99.35,46,3,3,1608,2011-09,2011,9
2011-09,EIRE,40995.49,38.14,1075,36,2,22136,2011-09,2011,9
2011-09,Finland,1105.45,33.5,33,4,4,515,2011-09,2011,9
2011-09,France,23428.04,22.57,1038,45,36,13002,2011-09,2011,9
2011-09,Germany,18091.22,23.4,773,41,31,11156,2011-09,2011,9
2011-09,Italy,279.8,18.65,15,1,1,48,2011-09,2011,9
2011-09,Japan,112.08,28.02,4,1,1,144,2011-09,2011,9
2011-09,Netherlands,26937.26,111.31,242,7,2,17309,2011-09,2011,9
2011-09,Norway,8678.94,42.97,202,6,5,4655,2011-09,2011,9
2011-09,Poland,529.25,17.64,30,2,2,253,2011-09,2011,9
2011-09,Portugal,1433.22,19.37,74,3,3,899,2011-09,2011,9
2011-09,Spain,5189.24,21.44,242,8,6,2683,2011-09,2011,9
2011-09,Sweden,4575.21,120.4,38,3,3,4344,2011-09,2011,9
2011-09,Switzerland,8284.86,43.15,192,7,5,4255,2011-09,2011,9
2011-09,United Arab Emirates,1013.04,26.66,38,2,1,486,2011-09,2011,9
2011-09,United Kingdom,796780.27,22.36,35636,1569,1146,454561,2011-09,2011,9
2011-10,Australia,17150.53,150.44,114,4,2,7401,2011-10,2011,10
2011-10,Austria,1043.78,19.33,54,1,1,491,2011-10,2011,10
2011-10,Belgium,5685.38,21.54,264,11,9,3170,2011-10,2011,10
2011-10,Channel Islands,2623.32,25.72,102,5,2,1407,2011-10,2011,10
2011-10,Cyprus,4412.87,27.07,163,4,4,1415,2011-10,2011,10
2011-10,Czech Republic,277.48,27.75,10,1,1,325,2011-10,2011,10
2011-10,Denmark,1490.76,64.82,23,3,3,869,2011-10,2011,10
2011-10,EIRE,24317.92,27.92,871,31,2,15904,2011-10,2011,10
2011-10,Finland,2822.12,24.76,114,6,5,1115,2011-10,2011,10
2011-10,France,33485.45,37.75,887,35,27,13807,2011-10,2011,10
2011-10,Germany,31638.42,24.6,1286,58,38,17740,2011-10,2011,10
2011-10,Iceland,1294.32,27.54,47,1,1,676,2011-10,2011,10
2011-10,Israel,138.03,4.06,34,2,1,99,2011-10,2011,10
2011-10,Italy,3489.69,21.95,159,7,5,1597,2011-10,2011,10
2011-10,Japan,1948.04,121.75,16,2,2,1124,2011-10,2011,10
2011-10,Netherlands,40708.65,146.43,278,15,4,27230,2011-10,2011,10
2011-10,Norway,3687.23,30.73,120,7,5,1692,2011-10,2011,10
2011-10,Portugal,5899.46,14.68,402,9,5,3150,2011-10,2011,10
2011-10,RSA,1002.31,17.28,58,1,1,352,2011-10,2011,10
2011-10,Singapore,7067.32,207.86,34,2,1,601,2011-10,2011,10
2011-10,Spain,8636.94,28.23,306,8,7,4352,2011-10,2011,10
2011-10,Sweden,5766.16,122.68,47,3,2,6151,2011-10,2011,10
2011-10,Switzerland,7655.19,24.85,308,6,5,4532,2011-10,2011,10
2011-10,USA,2311.2,18.49,125,2,2,1717,2011-10,2011,10
2011-10,United Kingdom,824766.22,18.86,43735,1705,1230,476991,2011-10,2011,10
2011-11,Australia,7242.72,168.44,43,6,3,4326,2011-11,2011,11
2011-11,Austria,1329.78,19.0,70,2,2,717,2011-11,2011,11
2011-11,Belgium,6315.76,25.99,243,11,8,2560,2011-11,2011,11
2011-11,Channel Islands,1514.77,20.75,73,3,2,716,2011-11,2011,11
2011-11,Cyprus,460.89,4.61,100,1,1,300,2011-11,2011,11
2011-11,Denmark,2699.57,32.52,83,2,2,1537,2011-11,2011,11
2011-11,EIRE,29473.41,29.18,1010,39,2,16125,2011-11,2011,11
2011-11,Finland,3070.24,41.49,74,8,5,1087,2011-11,2011,11
2011-11,France,31337.09,20.95,1496,62,39,17385,2011-11,2011,11
2011-11,Germany,28025.02,25.59,1095,68,44,13454,2011-11,2011,11
2011-11,Italy,4571.08,25.97,176,9,9,2063,2011-11,2011,11
2011-11,Japan,8460.08,264.38,32,2,2,4250,2011-11,2011,11
2011-11,Malta,743.43,61.95,12,1,1,186,2011-11,2011,11
2011-11,Netherlands,25874.01,115.0,225,15,4,18663,2011-11,2011,11
2011-11,Norway,6527.5,35.67,183,5,5,3408,2011-11,2011,11
2011-11,Poland,1361.23,19.17,71,2,2,941,2011-11,2011,11
2011-11,Portugal,2644.9,18.24,145,10,7,1093,2011-11,2011,11
2011-11,Spain,8678.96,28.55,304,14,12,3507,2011-11,2011,11
2011-11,Sweden,2722.23,35.82,76,5,5,1973,2011-11,2011,11
2011-11,Switzerland,8118.96,36.08,225,6,4,3777,2011-11,2011,11
2011-11,United Kingdom,980645.75,16.68,58809,2387,1506,583820,2011-11,2011,11
2011-12,Austria,683.2,97.6,7,1,1,148,2011-12,2011,12
2011-12,Belgium,1417.73,15.08,94,4,4,1101,2011-12,2011,12
2011-12,Channel Islands,198.4,39.68,5,1,1,60,2011-12,2011,12
2011-12,Denmark,168.9,15.35,11,1,1,173,2011-12,2011,12
2011-12,EIRE,6978.92,21.88,319,9,1,3946,2011-12,2011,12
2011-12,Finland,1232.76,94.83,13,3,3,350,2011-12,2011,12
2011-12,France,7276.92,22.46,324,18,17,3785,2011-12,2011,12
2011-12,Germany,7984.17,25.19,317,17,12,4006,2011-12,2011,12
2011-12,Greece,680.99,18.92,36,1,1,236,2011-12,2011,12
2011-12,Iceland,224.82,20.44,11,1,1,192,2011-12,2011,12
2011-12,Italy,200.45,25.06,8,1,1,45,2011-12,2011,12
2011-12,Netherlands,11728.02,136.37,86,3,1,7958,2011-12,2011,12
2011-12,Norway,2785.7,38.16,73,3,2,2319,2011-12,2011,12
2011-12,Portugal,2808.19,27.8,101,4,4,1569,2011-12,2011,12
2011-12,Spain,316.21,4.86,65,2,2,274,2011-12,2011,12
2011-12,Sweden,238.0,238.0,1,1,1,40,2011-12,2011,12
2011-12,USA,885.24,27.66,32,2,2,604,2011-12,2011,12
2011-12,United Kingdom,472384.17,29.9,15801,706,560,260607,2011-12,2011,12
